DateTime,Entries,UniqueIPs
1488368431,2120,2156
1488374432,2118,2154
1488379832,2118,2154
1488385232,2118,2154
1488390632,2112,2148
1488396029,2115,2151
1488401430,2113,2149
1488406229,2108,2144
1488412230,2105,2141
1488417629,2102,2138
1488428429,2099,2135
1488433229,2096,2130
1488438628,2095,2129
1488444029,2095,2129
1488449429,2090,2124
1488455430,2087,2121
1488460830,2082,2115
1488465630,2079,2112
1488471629,2079,2112
1488476429,2077,2110
1488481829,2072,2106
1488487229,2074,2108
1488492630,2070,2103
1488498630,2071,2104
1488504029,2073,2106
1488509429,2073,2106
1488514829,2071,2104
1488520229,2075,2108
1488525629,2077,2110
1488531029,2074,2107
1488536429,2074,2107
1488541829,2071,2104
1488547229,2073,2106
1488552629,2072,2105
1488558630,2069,2102
1488563428,2064,2097
1488568830,2061,2094
1488573629,2057,2090
1488579631,2054,2087
1488585030,2052,2085
1488589829,2050,2083
1488595829,2049,2082
1488601231,2052,2085
1488606028,2052,2085
1488610829,2051,2084
1488614427,2054,2087
1488618029,2053,2086
1488622229,2051,2084
1488627629,2050,2083
1488633629,2051,2084
1488638429,2049,2082
1488644433,2049,2082
1488649230,2048,2081
1488655230,2042,2075
1488660029,2046,2079
1488665429,2043,2075
1488669027,2047,2079
1488674429,2044,2076
1488680430,2044,2076
1488684630,2043,2075
1488688227,2044,2076
1488691828,2044,2076
1488695427,2041,2073
1488699629,2039,2071
1488703227,2043,2075
1488709230,2042,2074
1488713430,2037,2069
1488717629,2039,2071
1488723029,2040,2072
1488726027,2042,2074
1488729629,2043,2075
1488733226,2043,2075
1488736829,2044,2076
1488740427,2044,2076
1488744628,2042,2074
1488751230,2039,2071
1488756029,2037,2069
1488761428,2033,2065
1488766229,2034,2066
1488771628,2032,2064
1488777029,2029,2061
1488780627,2029,2062
1488783629,2025,2058
1488787227,2026,2059
1488790829,2026,2059
1488794427,2029,2062
1488802227,2029,2062
1488808231,2023,2056
1488813030,2025,2058
1488819030,2029,2062
1488823829,2028,2061
1488829829,2024,2057
1488834631,2020,2053
1488840630,2021,2054
1488845428,2019,2052
1488851429,2021,2054
