DateTime,AddedIPs,RemovedIPs
1488644433,21,21
1488649230,21,23
1488655230,19,18
1488660029,19,19
1488665429,20,20
1488669027,22,21
1488674429,16,19
1488680430,17,19
1488684630,20,15
1488688227,13,16
1488691828,18,17
1488695427,18,17
1488699629,17,20
1488703227,15,12
1488709230,21,20
1488713430,19,20
1488717629,15,17
1488723029,22,18
1488726027,14,17
1488729629,19,19
1488733226,17,18
1488736829,15,13
1488740427,18,18
1488744628,15,19
1488751230,18,14
1488756029,22,20
1488761428,18,19
1488766229,16,20
1488771628,17,15
1488777029,18,19
1488780627,15,16
1488783629,14,10
1488787227,14,19
1488790829,15,11
1488794427,15,15
1488802227,22,21
1488808231,24,25
1488813030,19,18
1488819030,21,24
1488823829,20,18
1488829829,19,19
1488834631,17,17
1488840630,23,22
1488845428,23,22
1488851429,18,20
1488856829,21,19
1488861029,15,19
1488865228,21,18
1488870629,17,18
1488875428,18,18
1488880229,16,19
1488885030,23,20
1488891031,17,18
1488895829,22,20
1488899427,19,20
1488903029,16,16
1488908428,15,19
1488914428,18,17
1488919229,17,15
1488924029,17,16
1488927627,15,17
1488931229,23,20
1488934827,17,19
1488938428,13,13
1488942027,13,15
1488945628,15,12
1488949227,14,16
1488952229,20,19
1488956429,18,18
1488960027,15,14
1488963630,14,15
1488967227,15,14
1488970830,13,15
1488974427,23,21
1488978629,17,18
1488982227,16,15
1488987629,18,20
1488993028,14,14
1488998429,23,20
1489003231,20,20
1489006826,15,17
1489011029,18,17
1489015229,21,19
1489020029,21,23
1489026028,18,18
1489030829,19,19
1489035629,19,18
1489039226,14,16
1489042829,21,21
1489047029,14,12
1489050626,11,14
1489056029,18,17
1489061431,16,18
1489066230,18,13
1489070429,15,17
1489075229,16,16
1489078827,14,14
1489081829,13,14
1489085426,16,17
1489089028,13,12
1489093829,18,16
1489099229,15,19
1489102226,14,12
1489105829,14,14
1489109426,16,17
1489113029,16,15
1489116627,17,15
1489120828,18,21
1489125628,16,13
1489132827,20,21
1489137028,16,18
1489142429,14,13
1489146026,15,14
1489149628,16,17
1489155029,22,21
1489158027,15,16
1489161629,16,16
1489168827,17,19
1489172429,17,13
1489176628,19,18
1489181429,19,24
1489185027,14,12
1489188628,19,18
1489192227,12,16
1489195832,21,15
1489199426,18,21
1489206627,20,20
1489210228,12,12
1489213226,16,16
1489217428,17,19
1489221027,14,12
1489224628,15,15
1489227626,11,11
1489231228,17,17
1489234826,16,14
1489238430,13,15
1489242632,17,18
1489246226,14,16
1489249829,17,15
1489253427,14,15
1489256428,13,13
1489260027,11,11
1489263629,18,15
1489267226,16,17
1489270829,15,16
1489274427,13,11
1489277430,15,16
1489281628,13,14
1489285226,18,17
1489289428,18,15
1489293027,17,20
1489296028,17,17
1489299626,12,11
1489303228,15,16
1489306827,16,16
1489310428,19,18
1489314027,15,17
1489317628,19,18
1489321227,13,12
1489325428,16,17
1489329026,15,17
1489332028,17,14
1489336229,13,14
1489339826,15,15
1489342828,13,12
1489350027,23,21
1489357227,21,24
1489361429,18,16
1489365026,17,18
1489368629,17,18
1489372227,16,19
1489375829,15,10
1489379426,14,18
1489382428,14,13
1489386026,16,16
1489389628,17,17
1489393226,15,14
1489400427,18,15
1489404028,17,21
1489408228,18,16
1489411827,11,12
1489415430,11,13
1489418427,16,15
1489425628,15,14
1489429828,16,16
1489433426,19,18
1489437628,16,16
1489441226,18,18
1489444229,19,18
1489447227,13,14
1489451428,18,18
1489455026,15,16
1489458029,16,14
1489462228,18,20
1489465827,16,17
1489468828,15,12
1489472426,12,14
1489479626,18,20
1489484428,20,16
1489487428,16,19
1489491029,17,15
1489494627,15,15
1489498228,12,15
1489501228,15,13
1489504830,17,15
1489509033,15,20
1489512620,16,11
1489515622,13,13
1489523421,20,23
1489527022,13,12
1489530621,16,16
1489534223,17,18
1489537221,15,13
1489544420,19,20
1489547422,12,12
1489551622,17,17
1489555220,15,18
1489558824,17,13
1489566021,20,19
1489569622,17,19
1489573221,15,16
1489576821,19,19
1489580420,13,11
1489583423,16,16
1489587623,14,16
1489591825,14,12
1489596024,17,20
1489600822,16,15
1489604420,19,16
1489608022,14,15
1489615221,23,24
1489619423,16,16
1489624223,18,15
1489627821,19,21
1489631422,14,15
1489635020,16,15
1489638022,9,13
1489641620,18,15
1489645223,17,15
1489649423,16,19
1489653021,16,12
1489656622,14,17
1489660221,19,19
1489663822,14,15
1489667420,16,14
1489674620,18,19
1489678222,14,12
1489681820,13,14
1489685423,13,15
1489689020,14,13
1489693222,13,13
1489698023,18,20
1489702223,14,13
1489707023,17,15
1489710620,16,16
1489714222,14,14
1489717821,14,15
1489721423,16,19
1489725021,15,13
1489728623,19,17
1489731619,15,17
1489735822,12,10
1489739420,19,19
1489743023,14,15
1489746621,21,20
1489750223,15,16
1489753820,16,17
1489758023,16,15
1489761621,18,17
1489766425,20,22
1489770020,17,15
1489773625,21,20
1489777220,17,21
1489780823,16,16
1489784421,15,14
1489788022,18,15
1489791620,14,15
1489795223,17,18
1489798820,14,16
1489802425,13,11
1489806020,15,17
1489809622,15,11
1489813220,12,12
1489816822,16,20
1489820422,14,13
1489824022,14,14
1489827620,16,16
1489834821,21,18
1489838423,15,17
1489842622,21,20
1489847424,17,16
1489854620,17,17
1489858254,18,20
1489861820,17,16
1489864822,17,18
1489868421,15,15
1489872625,20,18
1489876220,18,19
1489880423,19,18
1489885222,18,21
1489889422,16,14
1489894822,17,19
1489898420,15,15
1489903223,19,18
1489906822,17,16
1489910422,18,18
1489914020,15,17
1489917624,15,13
1489921220,15,15
1489924823,14,15
1489928420,17,17
1489932625,17,18
1489938023,15,15
1489942822,16,16
1489946421,16,14
1489949422,16,19
1489953623,16,15
1489957220,17,15
1489960823,12,13
1489964421,16,18
1489967423,18,15
1489971622,17,20
1489975220,18,17
