DateTime,Entries,UniqueIPs
1490281700,5221,5221
1490282173,5218,5218
1490282655,5221,5221
1490284093,5219,5219
1490284574,5221,5221
1490285773,5222,5222
1490286259,5219,5219
1490286735,5222,5222
1490287219,5221,5221
1490287693,5222,5222
1490288186,5220,5220
1490288655,5218,5218
1490289137,5221,5221
1490289619,5222,5222
1490290593,5220,5220
1490291054,5222,5222
1490293455,5219,5219
1490293938,5222,5222
1490294421,5220,5220
1490294895,5222,5222
1490295859,5221,5221
1490296335,5221,5221
1490297776,5219,5219
1490298259,5219,5219
1490298733,5221,5221
1490299705,5218,5218
1490300180,5217,5217
1490300656,5220,5220
1490301138,5221,5221
1490302096,5218,5218
1490302574,5221,5221
1490303537,5220,5220
1490304022,5219,5219
1490304495,5220,5220
1490304991,5221,5221
1490305457,5220,5220
1490305940,5221,5221
1490306896,5219,5219
1490307621,5220,5220
1490308098,5220,5220
1490308585,5221,5221
1490309058,5219,5219
1490309539,5220,5220
1490310500,5221,5221
1490311939,5220,5220
1490312422,5220,5220
1490312900,5221,5221
1490314102,5218,5218
1490314575,5221,5221
1490315055,5217,5217
1490315534,5221,5221
1490316497,5218,5218
1490316974,5221,5221
1490317464,5221,5221
1490317936,5222,5222
1490318417,5222,5222
1490318898,5217,5217
1490319387,5219,5219
1490319858,5225,5225
1490320333,5221,5221
1490321300,5217,5217
1490321779,5218,5218
1490322255,5219,5219
1490322734,5217,5217
1490323221,5220,5220
1490325617,5218,5218
1490326094,5220,5220
1490329215,5217,5217
1490329694,5220,5220
1490330179,5218,5218
1490330658,5220,5220
1490332575,5217,5217
1490333058,5218,5218
1490333534,5217,5217
1490334016,5220,5220
1490334494,5219,5219
1490334975,5216,5216
1490335456,5220,5220
1490335934,5217,5217
1490336415,5220,5220
1490338577,5217,5217
1490339055,5220,5220
1490339536,5219,5219
1490340016,5218,5218
1490340501,5220,5220
1490340973,5218,5218
1490341459,5217,5217
1490341936,5220,5220
1490345297,5220,5220
1490345776,5221,5221
1490347215,5218,5218
1490347702,5219,5219
1490348190,5221,5221
1490348657,5221,5221
1490349135,5222,5222
1490349858,5221,5221
1490350336,5219,5219
1490350817,5221,5221
1490351295,5222,5222
1490352733,5219,5219
1490353700,5222,5222
1490354177,5221,5221
1490354655,5222,5222
1490355137,5219,5219
1490355625,5221,5221
1490356096,5222,5222
1490357056,5221,5221
1490357540,5221,5221
1490358026,5222,5222
1490358978,5221,5221
1490359461,5222,5222
1490359936,5220,5220
1490360902,5222,5222
1490361381,5221,5221
1490362816,5220,5220
1490363298,5220,5220
1490363776,5221,5221
1490365942,5220,5220
1490366414,5221,5221
1490368814,5219,5219
1490369293,5221,5221
1490370253,5218,5218
1490370733,5219,5219
1490371698,5219,5219
1490372654,5220,5220
1490373133,5221,5221
1490373619,5217,5217
1490374093,5220,5220
1490374574,5219,5219
1490375055,5219,5219
1490375540,5220,5220
1490376015,5218,5218
1490376496,5219,5219
1490376987,5220,5220
1490377458,5221,5221
1490377935,5219,5219
1490378659,5220,5220
1490379135,5221,5221
1490379622,5220,5220
1490380099,5218,5218
1490380585,5220,5220
1490381056,5220,5220
1490381540,5220,5220
1490382502,5219,5219
1490382973,5221,5221
1490383458,5220,5220
1490384431,5221,5221
1490386339,5219,5219
1490386814,5221,5221
1490387779,5220,5220
1490388259,5221,5221
1490389698,5219,5219
1490390181,5221,5221
1490391137,5219,5219
1490391616,5220,5220
1490393300,5221,5221
1490394254,5219,5219
1490394734,5221,5221
1490395224,5219,5219
1490396654,5221,5221
1490399059,5220,5220
1490400254,5220,5220
1490400734,5221,5221
1490401696,5220,5220
1490402178,5221,5221
1490403140,5220,5220
1490404101,5214,5214
1490404582,5214,5214
1490405060,5216,5216
1490405540,5219,5219
1490406015,5218,5218
1490406493,5214,5214
1490406989,5211,5211
1490407457,5211,5211
1490407948,5210,5210
1490408415,5215,5215
1490408910,5215,5215
1490409385,5214,5214
1490409864,5217,5217
1490410333,5216,5216
1490411301,5217,5217
1490412747,5215,5215
1490413226,5217,5217
1490413707,5214,5214
1490414175,5217,5217
1490415375,5216,5216
1490416825,5215,5215
1490417294,5216,5216
1490417774,5217,5217
1490418745,5216,5216
1490419218,5215,5215
1490419694,5217,5217
1490420654,5216,5216
1490421133,5217,5217
1490422345,5214,5214
