DateTime,AddedIPs,RemovedIPs
1488466574,2,4
1488467058,2,1
1488467534,3,1
1488468018,1,2
1488468493,1,1
1488468976,0,2
1488469453,1,3
1488469937,3,1
1488470654,0,2
1488471142,2,0
1488471620,1,0
1488477133,1,2
1488477856,1,2
1488497300,1,0
1488498498,0,1
1488503056,0,3
1488503533,2,4
1488504029,1,2
1488504496,3,2
1488504973,2,1
1488505453,1,2
1488505935,3,1
1488514338,1,1
1488532831,0,1
1488534734,2,1
1488535695,2,2
1488547693,1,0
1488548174,0,1
1488548656,2,1
1488549138,1,2
1488552498,1,1
1488552978,1,0
1488553460,1,2
1488557300,0,1
1488557781,1,0
1488562093,1,0
1488562578,2,2
1488567860,2,0
1488576734,0,1
1488577220,0,2
1488589454,1,5
1488589938,6,5
1488590430,3,0
1488590898,0,3
1488591373,1,0
1488591858,1,3
1488592337,1,0
1488593301,3,6
1488593777,0,4
1488594257,0,2
1488594738,1,2
1488599053,1,0
1488611057,0,1
1488618254,1,1
1488627373,0,1
1488627855,1,4
1488628344,3,0
1488629298,1,2
1488629778,1,3
1488630257,1,1
1488630737,0,1
1488631217,3,3
1488631699,1,0
1488636265,1,0
1488643454,0,1
1488674174,1,0
1488675854,1,2
1488676335,1,3
1488676829,1,3
1488677294,2,0
1488677776,1,1
1488678255,1,1
1488678738,4,4
1488679228,0,1
1488679696,1,2
1488680179,1,1
1488688097,1,0
1488697458,0,1
1488705858,0,1
1488706334,1,2
1488706816,2,2
1488707295,2,2
1488707788,0,2
1488708255,2,1
1488708735,1,3
1488709217,1,2
1488709697,2,0
1488714495,0,1
1488717619,2,0
1488718574,0,2
1488719299,1,0
1488723382,1,0
1488726977,1,0
1488737777,1,0
1488742575,0,2
1488762738,0,1
1488763227,1,1
1488763699,1,1
1488764174,1,1
1488764657,2,1
1488765133,2,3
1488766099,2,4
1488766576,1,0
1488767294,0,1
1488767773,1,0
1488783146,0,1
1488783854,1,0
1488798502,1,1
1488798974,2,0
1488812659,1,0
1488817939,2,0
1488820098,0,3
1488820834,3,2
1488824174,1,0
1488840976,0,2
