DateTime,Entries,UniqueIPs
1488451453,580,580
1488451938,580,580
1488452896,582,582
1488462987,583,583
1488465139,582,582
1488465613,584,584
1488466098,584,584
1488466574,582,582
1488467058,583,583
1488467534,585,585
1488468018,584,584
1488468493,584,584
1488468976,582,582
1488469453,580,580
1488469937,582,582
1488470654,580,580
1488471142,582,582
1488471620,583,583
1488477133,582,582
1488477856,581,581
1488497300,582,582
1488498498,581,581
1488503056,578,578
1488503533,576,576
1488504029,575,575
1488504496,576,576
1488504973,577,577
1488505453,576,576
1488505935,578,578
1488514338,578,578
1488532831,577,577
1488534734,578,578
1488535695,578,578
1488547693,579,579
1488548174,578,578
1488548656,579,579
1488549138,578,578
1488552498,578,578
1488552978,579,579
1488553460,578,578
1488557300,577,577
1488557781,578,578
1488562093,579,579
1488562578,579,579
1488567860,581,581
1488576734,580,580
1488577220,578,578
1488589454,574,574
1488589938,575,575
1488590430,578,578
1488590898,575,575
1488591373,576,576
1488591858,574,574
1488592337,575,575
1488593301,572,572
1488593777,568,568
1488594257,566,566
1488594738,565,565
1488599053,566,566
1488611057,565,565
1488618254,565,565
1488627373,564,564
1488627855,561,561
1488628344,564,564
1488629298,563,563
1488629778,561,561
1488630257,561,561
1488630737,560,560
1488631217,560,560
1488631699,561,561
1488636265,562,562
1488643454,561,561
1488674174,562,562
1488675854,561,561
1488676335,559,559
1488676829,557,557
1488677294,559,559
1488677776,559,559
1488678255,559,559
1488678738,559,559
1488679228,558,558
1488679696,557,557
1488680179,557,557
1488688097,558,558
1488697458,557,557
1488705858,556,556
1488706334,555,555
1488706816,555,555
1488707295,555,555
1488707788,553,553
1488708255,554,554
1488708735,552,552
1488709217,551,551
1488709697,553,553
1488714495,552,552
1488717619,554,554
1488718574,552,552
1488719299,553,553
1488723382,554,554
1488726977,555,555
1488737777,556,556
1488742575,554,554
1488762738,553,553
1488763227,553,553
1488763699,553,553
1488764174,553,553
1488764657,554,554
1488765133,553,553
1488766099,551,551
1488766576,552,552
1488767294,551,551
1488767773,552,552
1488783146,551,551
1488783854,552,552
1488798502,552,552
1488798974,554,554
1488812659,555,555
1488817939,557,557
1488820098,554,554
1488820834,555,555
1488824174,556,556
1488840976,554,554
1488841454,555,555
1488848897,556,556
1488849376,555,555
1488849856,553,553
1488850334,551,551
1488850814,546,546
1488851294,547,547
1488852738,545,545
1488853217,544,544
1488853703,545,545
1488854175,547,547
1488859709,544,544
1488860191,546,546
1488861141,547,547
1488864032,548,548
1488876737,547,547
1488879615,546,546
1488880100,546,546
1488903624,546,546
1488904575,545,545
1488905055,544,544
1488914896,545,545
1488926902,544,544
1488935056,543,543
1488935537,542,542
1488936027,539,539
1488936502,536,536
