DateTime,AddedIPs,RemovedIPs
1479216902,1,1
1479221702,1,0
1479225602,0,1
1479246603,1,1
1479246901,1,0
1479247802,1,0
1479251402,1,0
1479274501,0,1
1479276302,0,1
1479314702,0,1
1479332702,2,1
1479340803,2,0
1479366902,1,0
1479368702,0,2
1479400202,1,1
1479421502,1,1
1479427502,1,0
1479466502,1,0
1479470702,1,1
1479513602,1,0
1479516301,0,1
1479539103,1,0
1479555302,1,0
1479588002,0,1
1479588302,1,0
1479600302,1,0
1479678303,1,0
1479680702,0,1
1479705602,0,1
1479727502,1,0
1479737102,1,1
1479849901,1,0
1479885302,1,1
1479902102,1,1
1479918901,0,1
1479920103,1,1
1479985202,0,1
1479988203,2,0
1480032002,1,0
1480118702,1,0
1480152302,1,0
1480161302,1,1
1480205102,2,0
1480291202,2,0
1480327802,1,1
1480333201,1,0
1480336202,1,0
1480401901,1,0
1480416302,0,1
1480416602,0,1
1480504502,1,0
1480519502,1,0
1480520701,0,1
1480526702,1,1
1480539902,1,0
1480542302,1,1
1480548002,0,1
1480550404,1,0
1480589406,1,1
1480603202,1,0
1480603502,2,0
1480606202,1,0
1480612202,0,1
1480636804,2,0
1480655704,0,1
1480665302,1,0
1480669504,1,0
1480691102,1,0
1480697102,0,1
1480704302,1,0
1480719902,0,1
1480726502,0,1
1480759502,1,0
1480795802,1,0
1480800302,0,1
1480809904,1,0
1480857902,1,0
1480859401,1,0
1480884302,0,1
1480891205,1,0
1480896003,4,0
1480896603,0,2
1480931101,1,0
1480936202,0,1
1480938302,0,1
1480962302,1,0
1480966502,1,1
1481018102,0,1
1481048702,2,1
1481059203,0,1
1481080204,1,0
1481181902,2,2
1481187002,1,0
1481187302,2,0
1481210402,1,1
1481241602,1,0
1481245804,1,1
1481283902,2,0
1481307309,0,2
1481384102,1,0
1481385302,1,0
1481395802,1,0
1481396101,0,1
1481396702,0,1
1481455202,1,0
1481485802,0,1
1481501103,1,0
1481526302,1,0
1481529002,0,1
1481564701,1,1
1481585101,0,1
1481585703,0,1
1481587203,1,0
1481634302,1,0
1481670603,2,0
1481673904,1,0
1481711702,1,0
1481720102,1,0
1481751002,1,0
1481787902,1,0
1481816102,0,2
1481846402,6,0
1481879703,1,0
1481931003,0,2
1481931302,2,0
1481933402,2,0
1481969102,1,0
1482019502,3,0
1482054302,1,0
1482085502,0,1
1482090902,1,0
1482106203,2,0
1482225602,1,0
1482278402,1,0
1482300002,0,1
1482329402,1,0
1482335102,0,1
1482364802,1,0
1482451502,1,0
1482456002,1,1
1482472202,1,0
1482489901,0,1
1482537902,3,0
1482655202,1,0
1482664202,0,1
1482743402,1,0
1482770101,0,1
1482796802,2,0
1482969902,2,0
1483009502,1,0
1483056002,1,0
1483087502,1,0
1483131602,1,0
1483131902,3,0
1483132202,0,2
1483135802,1,0
1483137002,0,1
1483137902,0,1
1483140002,0,1
1483142402,5,0
1483143302,0,1
1483164902,1,0
1483165802,0,1
1483174502,1,0
1483175102,1,1
1483183802,0,1
1483229102,3,0
1483315502,2,0
1483401902,2,0
1483488002,3,0
1483553102,1,0
1483553402,1,0
1483574402,2,0
1483660802,2,0
1483747202,2,0
1483833901,1,0
1483920002,3,0
1483980002,4,0
1484006402,2,0
1484179202,1,0
1484298602,2,0
1484352002,2,0
1484389502,1,0
1484404501,0,1
1484481902,1,0
1484556302,0,1
1484697902,1,0
1484870703,1,0
1484900702,1,0
1484910901,2,0
1485116402,1,0
1485126902,0,1
1485129602,1,0
1485287702,1,1
1485302402,1,0
1485344702,1,0
1485357901,2,1
1485382202,1,2
1485389102,1,0
1485431102,1,1
1485451202,1,0
1485456302,1,2
1485467102,1,0
1485467401,0,1
1485499502,1,1
1485545700,1,0
1485546302,0,1
1485764103,1,0
1485833101,1,1
1486007103,0,1
1486025402,2,0
1486047902,0,1
1486105802,1,0
1486155301,1,1
1486228802,1,1
1486379402,1,1
1486396502,1,1
1486457102,1,0
1486458903,0,1
1486647002,1,0
1486647300,1,0
1486664701,0,4
1486682102,1,1
1486735502,1,1
1486797902,1,1
1486801802,1,0
1486851002,1,1
1486918202,1,1
1486977602,1,1
1487028002,1,1
1487030402,1,0
1487063102,1,0
1487076902,1,1
1487087702,1,0
1487088302,1,0
1487092202,1,3
1487103902,1,0
1487117102,1,0
1487139602,1,0
1487139902,0,1
1487144702,1,0
1487152802,1,1
1487182502,0,1
1487194202,2,1
1487241302,1,0
1487245802,0,1
1487316602,1,0
1487320501,0,1
1487332202,1,1
1487343302,1,1
1487354402,1,0
1487393103,1,0
1487394302,0,1
1487404802,0,1
1487411702,1,0
1487412601,2,0
1487413502,0,1
1487424602,0,2
1487426101,1,1
1487426402,1,0
1487439302,1,1
1487448902,1,1
1487497502,0,1
1487509502,1,0
1487512502,1,0
1487523602,0,1
1487523901,1,0
1487537702,1,0
1487543702,0,1
1487548802,1,0
1487575501,0,1
1487587502,1,0
1487610902,1,0
1487611802,1,2
1487616602,1,0
1487621702,1,2
1487622302,1,0
1487631002,1,1
1487648702,0,1
1487649002,1,0
1487658002,1,0
1487658301,0,1
1487660702,1,0
1487668502,1,2
1487691602,1,1
1487703302,1,2
1487721901,1,0
1487750102,1,1
1487761202,3,3
1487772002,1,0
1487784902,2,2
1487811903,1,0
1487812503,0,1
1487823902,1,0
1487826903,1,0
1487831702,1,3
1487841603,2,2
1487894402,1,0
1487904002,0,1
1487904301,1,0
1487915703,1,0
1487921102,1,0
1487931002,0,1
1487945102,1,0
1487945402,0,1
1487961301,2,0
1487961602,0,2
1487980802,3,0
1488010502,1,0
1488024302,1,0
1488024602,0,2
1488067202,3,0
1488078002,1,0
1488086702,1,0
1488089402,0,2
1488102902,1,0
1488103501,1,2
1488120902,1,0
1488121202,0,1
1488153901,2,0
1488163802,1,0
1488168902,1,0
1488170701,0,2
1488184502,2,2
1488189002,1,0
1488195902,4,5
1488226202,1,1
1488226802,0,1
1488259802,2,2
1488260102,1,0
1488272702,1,0
1488273902,1,1
1488274203,0,2
1488282902,1,0
1488289502,2,0
1488289801,1,3
1488295802,1,0
1488308702,1,0
1488313502,2,3
1488313802,1,2
1488354303,1,0
1488355501,0,1
1488355802,1,0
1488356702,1,2
1488363902,1,0
1488375302,2,3
1488375902,0,2
1488396302,2,0
1488396602,1,1
1488396902,1,1
1488425103,1,0
1488432302,1,2
1488432602,0,1
1488452100,1,0
1488452702,2,1
1488462901,1,0
1488471602,1,0
1488477002,1,2
1488477602,1,2
1488497102,1,0
1488498603,0,1
1488499202,1,0
1488514203,1,1
1488514803,0,1
1488515102,1,0
1488534602,2,1
1488535203,1,2
1488547502,1,0
1488549002,2,3
1488552602,1,0
1488553202,1,2
1488562202,1,0
1488562503,1,1
1488563102,1,1
1488576602,1,1
1488576903,1,2
1488594602,0,1
1488594903,1,0
1488599102,1,0
1488610802,0,1
1488618002,1,1
1488636302,1,0
1488643501,0,1
1488672302,1,0
1488673802,1,0
1488678302,1,0
1488678602,0,2
1488687902,1,0
1488696902,0,1
1488697202,0,1
1488697502,1,0
1488705902,0,1
1488706202,1,0
1488717902,1,0
1488718501,1,1
1488737702,1,0
1488742202,0,2
1488758702,2,0
1488798602,1,1
1488798902,1,1
1488812701,1,0
1488818102,1,0
1488819902,0,2
1488820202,1,0
1488820801,1,2
1488824102,1,0
1488840902,0,1
1488845102,1,0
1488853502,1,0
1488863703,1,0
1488879301,0,2
1488880202,1,1
1488900902,1,0
1488903602,1,1
1488903902,1,0
1488904502,0,1
1488905101,0,1
1488914702,1,0
1488926701,0,1
1488927002,1,2
1488963602,1,0
1488964501,1,1
1488969002,1,0
1488969302,0,1
1488990902,1,0
1488991502,0,1
1488999602,1,0
1489008302,1,0
1489013402,1,3
1489017602,2,0
1489059902,1,1
1489060503,0,1
1489117802,1,1
1489142702,1,0
1489168802,1,1
1489226402,1,0
1489237802,2,3
1489255802,1,0
1489260902,0,1
1489276802,2,0
1489359906,1,0
1489360204,0,1
1489363205,1,0
1489391401,1,0
1489405502,1,1
1489428603,1,0
1489431002,0,1
1489442702,1,0
1489449602,2,0
1489449902,0,1
1489476602,1,1
1489497602,2,2
1489513802,1,0
1489515302,1,2
1489524603,0,1
1489536302,1,0
1489622402,2,0
1489667102,1,0
1489708802,5,0
1489763103,1,0
1489766103,1,0
1489776902,0,2
1489795202,2,0
1489881602,1,0
1489956301,1,0
1489956602,0,1
1489968302,2,0
1490015102,1,0
1490016302,1,0
1490021102,0,2
1490035502,1,0
1490035802,0,1
1490054102,1,1
1490054405,3,0
1490104505,2,1
1490104804,0,1
1490124602,1,1
1490138103,1,1
1490141101,2,0
1490201101,1,1
1490227202,4,0
1490267403,1,0
1490285403,1,0
1490296202,0,1
1490313902,4,0
1490348703,1,0
1490361303,0,1
1490375702,1,1
1490400002,4,0
1490436302,1,1
1490439901,1,1
1490458203,1,1
1490462103,1,1
1490471702,1,1
1490483402,1,1
1490486402,4,0
1490546703,1,1
1490550603,1,1
1490573103,2,0
1490670602,1,0
