DateTime,AddedIPs,RemovedIPs
1488887107,164,0
1488890707,165,0
1488894307,116,0
1488897907,206,0
1488901508,162,0
1488905107,182,0
1488908707,112,0
1488912308,103,0
1488915907,126,0
1488919507,71,0
1488923264,78,0
1488926702,105,0
1488930302,68,0
1488933903,88,2966
1488937503,84,0
1488941102,88,0
1488944702,99,0
1488948303,135,0
1488951902,113,0
1488955503,156,0
1488959102,128,0
1488962703,139,0
1488966302,127,0
1488969902,148,0
1488973502,122,0
1488977103,132,0
1488980703,121,0
1488984303,172,0
1488987902,135,0
1488991503,205,0
1488995102,190,0
1488998703,95,0
1489002303,165,0
1489005902,78,0
1489009503,90,0
1489013103,124,0
1489016703,128,0
1489020302,108,3258
1489023903,115,0
1489027503,86,0
1489031102,85,0
1489034703,108,0
1489038303,134,0
1489041903,153,0
1489045503,140,0
1489049103,123,0
1489052703,145,0
1489056303,170,0
1489059903,258,0
1489063503,165,0
1489067103,145,0
1489070703,148,0
1489074303,110,0
1489077903,127,0
1489081503,91,0
1489085103,109,0
1489088703,149,0
1489092303,94,0
1489095903,74,0
1489099503,81,0
1489103103,73,0
1489106703,80,3049
1489110303,117,0
1489113903,96,0
1489117503,137,0
1489121103,131,0
1489124703,94,0
1489128303,124,0
1489131903,129,0
1489135504,144,0
1489139103,139,0
1489142704,144,0
1489146303,133,0
1489149904,135,0
1489153503,114,0
1489157103,115,0
1489160704,166,0
1489164304,197,0
1489167903,76,0
1489171503,88,1
1489175103,88,0
1489178703,77,0
1489182304,448,0
1489185903,90,0
1489189503,92,0
1489193104,89,3108
1489196704,85,0
1489200304,151,0
1489203904,114,0
1489207504,88,0
1489211104,118,0
1489214703,118,0
1489218303,110,0
1489221904,98,0
1489225503,114,0
1489229104,104,0
1489232704,98,0
1489236304,117,0
1489239904,94,0
1489243503,139,0
1489247103,101,0
1489250704,99,0
1489254304,83,0
1489257904,82,0
1489261504,89,0
1489265104,85,0
1489268704,136,0
1489272304,72,0
1489275904,108,0
1489279504,73,3211
1489283104,100,0
1489286704,89,0
1489290304,83,0
1489293904,93,0
1489297504,85,0
1489301103,80,0
1489304704,96,0
1489308304,113,0
1489311904,111,0
1489315504,101,0
1489319103,113,0
1489322704,106,0
1489326304,160,0
1489329904,91,0
1489333504,151,0
1489337104,199,0
1489340704,74,0
1489344304,84,0
1489347904,84,0
1489351504,97,0
1489355104,98,0
1489358704,66,0
1489362304,263,0
1489365905,81,2481
1489369504,101,0
1489373104,87,0
1489376704,97,0
1489380304,99,0
1489383904,92,0
1489387504,83,0
1489391104,127,0
1489394704,153,0
1489398304,165,0
1489401904,91,0
1489405504,134,0
1489409105,101,0
1489412705,128,0
1489416304,122,0
1489419904,84,0
1489423505,118,0
1489427105,102,0
1489430705,63,0
1489434305,90,0
1489437904,74,0
1489441504,69,0
1489445104,90,0
1489448705,66,0
1489452304,75,2748
1489455904,70,0
1489459504,84,0
1489463104,92,0
1489466704,122,0
1489470304,104,0
1489473905,117,0
1489477504,141,0
1489481105,172,0
1489484705,158,0
1489488304,268,0
1489491905,203,0
1489495504,171,0
1489499105,149,0
1489502704,137,0
1489506304,133,0
1489509905,105,0
1489513504,107,0
1489517104,85,0
1489520705,101,0
1489524305,123,0
1489527905,83,0
1489531505,84,0
1489535104,72,0
1489538704,68,2464
1489542304,119,0
1489545904,128,0
1489549504,93,0
1489553104,105,0
1489556705,87,0
1489560305,122,0
1489563905,138,0
1489567505,154,0
1489571105,110,0
1489574704,143,0
1489578305,129,0
1489581905,134,0
1489585505,117,0
1489589105,156,0
1489592705,146,0
1489596305,88,0
1489599905,96,0
1489603505,81,0
1489607105,87,0
1489610705,96,0
1489614305,93,0
1489617905,132,0
1489621505,167,0
1489625105,94,2901
1489628705,80,0
1489632305,86,0
1489635905,99,0
1489639505,90,0
1489643105,100,0
1489646705,114,0
1489650305,106,0
1489653905,129,0
1489657505,141,0
1489661105,155,0
1489664706,143,0
1489668305,130,0
1489671906,277,0
1489675505,208,0
1489679105,264,0
1489682705,180,0
1489686305,160,0
1489689905,116,0
1489693505,111,0
1489697105,83,0
1489700705,195,0
1489704305,110,0
1489707906,144,0
1489711505,68,2803
1489715106,110,0
1489718705,83,0
1489722305,93,0
1489725905,114,0
1489729506,113,0
1489733106,120,0
1489736706,150,0
1489740306,157,0
1489743906,161,0
1489747505,215,0
1489751105,170,0
1489754706,140,0
1489758305,125,0
1489761906,175,0
1489765506,94,0
1489769106,123,0
1489772706,77,0
1489776305,106,0
1489779906,94,0
1489783506,83,0
1489787106,109,0
1489790706,78,0
1489794306,107,1
1489797905,98,3264
1489801506,161,1
1489805105,88,1
1489808705,91,0
1489812306,88,0
1489815906,139,0
1489819506,153,0
1489823105,131,0
1489826706,131,0
1489830306,118,0
1489833906,521,0
1489837506,105,0
1489841106,121,0
1489844705,128,3
1489848306,113,0
1489851906,97,0
1489855506,101,0
1489859107,73,0
1489862706,92,0
1489866306,87,0
1489869906,81,0
1489873506,83,0
1489877106,57,0
1489880706,72,0
1489884306,72,2994
1489887906,86,0
1489891506,85,0
1489895105,84,0
1489898707,61,0
1489902306,76,0
1489905906,96,0
1489909506,88,0
1489913107,87,0
1489916706,75,0
1489920306,93,0
1489923906,92,0
1489927507,102,0
1489931106,193,0
1489934706,88,0
1489938307,71,0
1489941907,128,0
1489945507,68,0
1489949107,82,0
1489952706,77,0
1489956307,81,0
1489959907,91,0
1489963506,159,0
1489967106,74,0
1489970707,79,2962
1489974307,107,0
1489977906,79,0
1489981507,67,0
1489985106,104,0
1489988706,107,0
1489992307,116,0
1489995907,158,0
1489999507,204,0
1490003106,123,0
1490006706,141,0
1490010307,175,0
1490013906,183,0
1490017506,175,0
1490021107,155,0
1490024706,193,0
1490028307,99,0
1490031907,92,0
1490035507,97,0
1490039107,90,0
1490042707,108,0
1490046307,75,0
1490049907,112,0
1490053506,79,0
1490057107,74,2167
1490060707,103,0
1490064307,107,0
1490067907,96,0
1490071507,93,0
1490075107,98,0
1490078707,113,0
1490082306,131,0
1490085907,163,0
1490089507,154,0
1490093107,127,0
1490096707,131,0
1490100307,142,0
1490103907,144,0
1490107507,139,0
1490111107,135,0
1490114707,87,0
1490118307,90,0
1490121907,77,0
1490125507,116,0
1490129107,115,0
1490132707,107,0
1490136307,77,0
1490139907,85,0
1490143507,74,2882
1490147106,109,0
1490150707,98,0
1490154307,104,0
1490157907,92,0
1490161507,108,0
1490165107,95,0
1490168707,123,0
1490172307,145,0
1490175907,152,0
1490179507,129,0
1490183108,188,0
1490186707,146,0
1490190307,113,0
1490193907,121,0
1490197507,96,0
1490201107,128,0
1490204707,174,0
1490208307,136,0
1490211907,82,0
1490215507,75,0
1490219107,74,0
1490222708,82,0
1490226307,78,0
1490229908,91,2648
1490233508,88,0
1490237107,100,0
1490240708,134,0
1490244308,103,0
1490247908,112,0
1490251507,100,0
1490255107,126,0
1490258707,127,0
1490262308,143,0
1490265907,115,0
1490269508,169,0
1490273108,277,0
1490276708,128,0
1490280308,110,0
1490283908,103,0
