DateTime,Entries,UniqueIPs
1488300001,24777,24777
1488303601,24777,24777
1488307201,23822,23822
1488310801,23820,23820
1488315001,23823,23823
1488318001,23825,23825
1488325201,23826,23826
1488332401,23833,23833
1488339601,23825,23825
1488346801,23828,23828
1488354001,23830,23830
1488361201,23829,23829
1488368401,23817,23817
1488375601,23819,23819
1488382801,23811,23811
1488386401,24625,24625
1488390000,24629,24629
1488397201,24405,24405
1488399001,23475,23475
1488404401,23475,23475
1488408001,23476,23476
1488412201,23481,23481
1488418801,23478,23478
1488426001,23476,23476
1488433201,23482,23482
1488440401,23479,23479
1488447601,23477,23477
1488454801,23474,23474
1488458401,23475,23475
1488462001,23477,23477
1488465601,23476,23476
1488469201,23476,23476
1488472801,24208,24208
1488476401,24215,24215
1488481801,23287,23287
1488483600,23280,23280
1488490801,23284,23284
1488498001,23289,23289
1488505201,23292,23292
1488512401,23286,23286
1488519601,23284,23284
1488526801,23287,23287
1488534001,23286,23286
1488537601,23285,23285
1488541201,23283,23283
1488549001,23279,23279
1488555601,23277,23277
1488559201,23278,23278
1488561001,24135,24135
1488562801,24138,24138
1488566401,23260,23260
1488570001,23259,23259
1488573601,23260,23260
1488576001,23260,23260
1488579601,23259,23259
1488583201,23262,23262
1488586801,23261,23261
1488590401,23261,23261
1488597601,23257,23257
1488604801,23255,23255
1488612001,23253,23253
1488619201,23254,23254
1488626401,23258,23258
1488633601,23257,23257
1488637201,23258,23258
1488640201,23259,23259
1488640801,23255,23255
1488645001,23949,23949
1488648001,23953,23953
1488653401,23298,23298
1488655201,23297,23297
1488662401,23299,23299
1488669601,23305,23305
1488676801,23311,23311
1488684001,23303,23303
1488691201,23305,23305
1488699001,23305,23305
1488705601,23304,23304
1488712801,23308,23308
1488720001,23310,23310
1488727201,23312,23312
1488732601,24066,24066
1488734401,24065,24065
1488739801,23364,23364
1488741601,23362,23362
1488745201,23363,23363
1488748801,23364,23364
1488752401,23366,23366
1488756001,23361,23361
1488763201,23360,23360
1488770401,23361,23361
1488774001,23360,23360
1488777601,23359,23359
1488784801,23363,23363
1488792001,23355,23355
1488795601,23356,23356
1488799801,23355,23355
1488806401,23358,23358
1488813601,23351,23351
1488820801,23888,23888
1488824401,23887,23887
1488828001,23419,23419
1488835201,23412,23412
1488842401,23418,23418
1488846001,23415,23415
1488849601,23413,23413
1488856801,23408,23408
1488864001,23408,23408
1488871201,23412,23412
1488874801,23414,23414
1488878401,23413,23413
1488886201,23409,23409
1488889201,23410,23410
1488892801,23404,23404
1488900001,23404,23404
1488903601,24032,24032
1488905401,24033,24033
1488907201,24031,24031
1488914401,24030,24030
1488921601,24036,24036
1488925201,23450,23450
1488928801,23452,23452
1488936001,23455,23455
1488943801,23449,23449
1488944401,23448,23448
1488950401,23447,23447
1488957601,23451,23451
1488964801,23445,23445
1488968401,23444,23444
1488970201,23446,23446
1488972000,23445,23445
1488979201,23444,23444
1488982801,23442,23442
1488986401,23443,23443
1488991201,22266,22266
1488993001,22912,22912
1488993601,22912,22912
1488997201,22913,22913
1489000801,22910,22910
1489004401,22916,22916
1489008001,22910,22910
1489015201,22912,22912
1489022401,22914,22914
1489026001,22923,22923
1489029601,22919,22919
1489036801,22928,22928
1489041001,22929,22929
1489044001,22929,22929
1489049401,22931,22931
1489050601,22932,22932
1489051201,22941,22941
1489054801,22942,22942
1489056001,22944,22944
1489058401,22945,22945
1489065601,22949,22949
1489072801,22948,22948
1489077600,21759,21759
1489080001,21756,21756
1489085401,22513,22513
1489087201,22514,22514
1489088401,22513,22513
1489095001,22511,22511
1489099201,22513,22513
1489099801,22514,22514
1489101601,22513,22513
1489103401,22512,22512
1489165201,22483,22483
1489166401,22511,22511
1489168202,23779,23779
1489173601,23780,23780
1489176601,23781,23781
1489177201,23780,23780
1489178401,23783,23783
1489180801,23782,23782
1489184401,23781,23781
1489188001,23778,23778
1489195201,23781,23781
