DateTime,Entries,UniqueIPs
1488758549,1252,1330
1488762209,1254,1332
1488769349,1251,1329
1488776609,1251,1329
1488780209,1253,1331
1488783809,1252,1330
1488787409,1249,1327
1488791009,1251,1329
1488794612,1244,1322
1488798210,1241,1319
1488801750,1242,1320
1488805350,1237,1315
1488808950,1239,1317
1488812550,1239,1318
1488816210,1236,1315
1488819810,1239,1318
1488823350,1243,1322
1488827010,1242,1321
1488830550,1237,1316
1488834150,1236,1315
1488837810,1241,1321
1488841350,1242,1322
1488845010,1242,1322
1488848610,1243,1323
1488852150,1238,1318
1488855810,1239,1319
1488859410,1233,1313
1488863010,1236,1316
1488866550,1235,1315
1488870151,1232,1312
1488873811,1229,1309
1488881010,1226,1306
1488884551,1227,1307
1488888211,1226,1305
1488891811,1225,1304
1488895355,1226,1305
1488899015,1229,1308
1488902555,1231,1310
1488906155,1230,1309
1488909815,1231,1310
1488913415,1232,1311
1488916955,1228,1307
1488920615,1232,1311
1488924215,1233,1312
1488927815,1234,1313
1488931415,1234,1313
1488934955,1237,1316
1488938615,1240,1319
1488942215,1235,1314
1488945755,1238,1317
1488949355,1233,1312
1488952955,1230,1309
1488956555,1233,1312
1488963757,1232,1311
1488967355,1232,1311
1488971016,1231,1310
1488978156,1229,1308
1488981756,1233,1312
1488985416,1235,1314
1488988956,1231,1310
1488992556,1232,1311
1488996156,1231,1310
1488999756,1230,1309
1489003356,1228,1307
1489007016,1226,1305
1489010556,1231,1310
1489014156,1230,1309
1489017816,1231,1310
1489021357,1229,1308
1489025016,1224,1303
1489032156,1219,1298
1489035756,1221,1300
1489039416,1222,1301
1489043017,1222,1301
1489046556,1223,1302
1489047586,1221,1300
1489050227,1229,1308
1489053765,1230,1309
1489057366,1231,1310
1489060665,1232,1311
1489064565,1235,1314
1489071767,1235,1314
1489075365,1235,1314
1489078967,1236,1315
1489082565,1240,1319
1489086166,1243,1322
1489089767,1241,1320
1489093426,1239,1318
1489097028,1239,1318
1489100566,1240,1319
1489104167,1240,1319
1489107768,1241,1320
1489114966,1236,1315
1489118635,1237,1316
1489122167,1238,1317
1489125837,1234,1313
1489129368,1238,1317
1489132967,1238,1317
1489136567,1238,1317
1489140169,1237,1316
1489143768,1238,1317
1489147367,1240,1319
1489151028,1240,1319
1489154569,1242,1321
1489158228,1242,1321
1489165367,1243,1322
1489168968,1244,1323
1489172569,1243,1322
1489176169,1248,1327
1489179768,1244,1323
1489183367,1244,1324
1489186967,1245,1325
1489190568,1247,1327
1489194169,1245,1325
1489201369,1243,1323
1489204968,1243,1323
1489208568,1245,1325
1489212168,1243,1323
1489215768,1245,1325
1489219368,1245,1324
1489222968,1248,1327
1489226568,1246,1325
1489230229,1246,1325
1489237368,1246,1325
1489241030,1248,1327
1489244568,1250,1329
1489248170,1246,1323
1489251829,1245,1322
1489255370,1246,1323
1489258969,1245,1322
1489262569,1244,1321
1489266170,1249,1325
1489269830,1240,1318
1489273429,1239,1317
1489277029,1243,1321
1489280569,1245,1323
1489284170,1247,1325
1489287769,1249,1327
1489291369,1251,1329
1489294969,1249,1328
1489298569,1253,1336
1489302229,1250,1336
1489305769,1251,1338
1489313029,1252,1339
1489316570,1254,1341
1489320170,1250,1337
1489323770,1248,1335
1489327371,1250,1337
1489330971,1248,1335
1489334631,1246,1333
1489338231,1246,1333
1489341773,1249,1336
1489345430,1248,1335
1489348970,1248,1337
1489352631,1246,1335
1489356230,1246,1335
1489359770,1249,1338
1489363372,1252,1341
1489367030,1249,1338
1489374170,1249,1338
1489377772,1251,1340
1489381372,1252,1341
1489384972,1249,1338
