DateTime,AddedIPs,RemovedIPs
1488837810,7,7
1488841350,1,1
1488845010,2,1
1488848610,1,2
1488852150,1,2
1488855810,2,2
1488859410,1,1
1488863010,4,5
1488866550,2,3
1488870151,2,4
1488873811,0,5
1488877350,2,1
1488881010,3,3
1488884551,2,1
1488888211,0,3
1488891811,0,1
1488895355,1,1
1488899015,3,1
1488902555,3,2
1488906155,1,1
1488909815,1,7
1488913415,2,4
1488916955,2,3
1488920615,7,7
1488924215,4,2
1488927815,3,2
1488931415,1,0
1488934955,4,1
1488938615,3,4
1488942215,0,3
1488945755,3,2
1488949355,3,3
1488952955,2,3
1488956555,3,3
1488960155,0,1
1488963757,0,1
1488967355,1,2
1488971016,1,2
1488974555,2,1
1488978156,3,1
1488981756,6,4
1488985416,2,4
1488988956,1,2
1488992556,2,0
1488996156,2,2
1488999756,1,2
1489003356,2,5
1489007016,1,2
1489010556,5,4
1489014156,3,3
1489017816,2,2
1489021357,1,2
1489025016,1,2
1489032156,1,0
1489035756,3,5
1489039416,2,2
1489043017,2,3
1489046556,2,2
1489047586,2,1
1489050227,12,0
1489053765,2,3
1489057366,2,1
1489060665,2,2
1489061026,0,1
1489064565,4,5
1489068227,1,3
1489071767,5,2
1489075365,2,5
1489078967,4,3
1489082565,6,1
1489086166,4,4
1489089767,1,1
1489093426,2,2
1489097028,4,4
1489100566,2,0
1489104167,4,2
1489107768,2,1
1489111426,0,2
1489114966,2,2
1489118635,2,4
1489122167,4,6
1489125837,3,2
1489129368,4,4
1489132967,1,0
1489136567,1,6
1489140169,0,2
1489143768,3,3
1489147367,2,3
1489151028,2,5
1489154569,2,2
1489158228,5,3
1489161767,2,0
1489165367,2,3
1489168968,3,2
1489172569,4,2
1489176169,8,6
1489179768,2,2
1489183367,1,4
1489186967,1,3
1489190568,2,0
1489194169,2,3
1489197829,1,2
1489201369,2,4
1489204968,3,1
1489208568,3,7
1489212168,3,2
1489215768,3,3
1489219368,2,6
1489222968,3,2
1489226568,1,0
1489230229,4,9
1489233768,1,3
1489237368,1,1
1489241030,4,2
1489244568,5,2
1489248170,1,3
1489251829,2,1
1489255370,3,0
1489258969,4,1
1489262569,4,3
1489266170,7,7
1489269830,1,3
1489273429,1,1
1489277029,5,0
1489280569,2,1
1489284170,4,2
1489287769,3,3
1489291369,3,5
1489294969,3,2
1489298569,8,4
1489302229,4,2
1489305769,4,2
1489309369,1,2
1489313029,4,3
1489316570,3,3
1489320170,2,3
1489323770,4,1
1489327371,4,1
1489330971,2,2
1489334631,1,2
1489338231,2,1
1489341773,4,2
1489345430,2,5
1489348970,2,2
1489352631,0,1
1489356230,2,2
1489359770,4,2
1489363372,4,3
1489367030,2,3
1489374170,1,4
1489377772,4,2
1489381372,3,3
1489384972,3,2
1489388570,4,1
1489392172,1,4
1489395771,4,3
1489399372,1,1
1489402970,3,6
1489406571,0,4
1489410172,2,3
1489413771,1,3
1489421031,1,1
1489424632,8,2
1489428171,3,2
1489431771,6,3
1489435371,4,7
1489438971,1,2
1489442571,6,8
1489446231,3,6
1489449772,2,2
1489453372,3,3
1489456972,3,3
1489460572,2,0
1489464173,3,3
1489467773,3,4
1489471372,2,3
1489474971,2,3
1489478573,2,2
1489482172,1,1
1489489372,2,2
1489492972,3,1
1489496572,2,0
1489500172,1,0
