DateTime,Entries,UniqueIPs
1488801750,999,999
1488805350,998,998
1488808950,1000,1000
1488812550,1000,1000
1488816210,1001,1001
1488819810,1007,1007
1488823350,1013,1013
1488827010,1009,1009
1488830550,1010,1010
1488834150,1011,1011
1488837810,1011,1011
1488841350,1011,1011
1488845010,1012,1012
1488848610,1011,1011
1488852150,1010,1010
1488855810,1010,1010
1488859410,1010,1010
1488863010,1009,1009
1488866550,1008,1008
1488870151,1006,1006
1488873811,1001,1001
1488877350,1002,1002
1488881010,1002,1002
1488884551,1003,1003
1488888211,1000,1000
1488891811,999,999
1488895355,999,999
1488899015,1001,1001
1488902555,1002,1002
1488906155,1002,1002
1488909815,996,996
1488913415,994,994
1488916955,993,993
1488920615,993,993
1488924215,995,995
1488927815,996,996
1488931415,997,997
1488934955,1000,1000
1488938615,999,999
1488942215,996,996
1488945755,997,997
1488949355,997,997
1488952955,996,996
1488956555,996,996
1488960155,995,995
1488963757,994,994
1488967355,993,993
1488971016,992,992
1488974555,993,993
1488978156,995,995
1488981756,997,997
1488985416,995,995
1488988956,994,994
1488992556,996,996
1488996156,996,996
1488999756,995,995
1489003356,992,992
1489007016,991,991
1489010556,992,992
1489014156,992,992
1489017816,992,992
1489021357,991,991
1489025016,990,990
1489032156,991,991
1489035756,989,989
1489039416,989,989
1489043017,988,988
1489046556,988,988
1489047586,989,989
1489050227,1001,1001
1489053765,1000,1000
1489057366,1001,1001
1489060665,1001,1001
1489061026,1000,1000
1489064565,999,999
1489068227,997,997
1489071767,1000,1000
1489075365,997,997
1489078967,998,998
1489082565,1003,1003
1489086166,1003,1003
1489089767,1003,1003
1489093426,1003,1003
1489097028,1003,1003
1489100566,1005,1005
1489104167,1007,1007
1489107768,1008,1008
1489111426,1006,1006
1489114966,1006,1006
1489118635,1004,1004
1489122167,1002,1002
1489125837,1003,1003
1489129368,1003,1003
1489132967,1004,1004
1489136567,999,999
1489140169,997,997
1489143768,997,997
1489147367,996,996
1489151028,993,993
1489154569,993,993
1489158228,995,995
1489161767,997,997
1489165367,996,996
1489168968,997,997
1489172569,999,999
1489176169,1001,1001
1489179768,1001,1001
1489183367,998,998
1489186967,996,996
1489190568,998,998
1489194169,997,997
1489197829,996,996
1489201369,994,994
1489204968,996,996
1489208568,992,992
1489212168,993,993
1489215768,993,993
1489219368,989,989
1489222968,990,990
1489226568,991,991
1489230229,986,986
1489233768,984,984
1489237368,984,984
1489241030,986,986
1489244568,989,989
1489248170,987,987
1489251829,988,988
1489255370,991,991
1489258969,994,994
1489262569,995,995
1489266170,995,995
1489269830,993,993
1489273429,993,993
1489277029,998,998
1489280569,999,999
1489284170,1001,1001
1489287769,1001,1001
1489291369,999,999
1489294969,1000,1000
1489298569,1004,1004
1489302229,1006,1006
1489305769,1008,1008
1489309369,1007,1007
1489313029,1008,1008
1489316570,1008,1008
1489320170,1007,1007
1489323770,1010,1010
1489327371,1013,1013
1489330971,1013,1013
1489334631,1012,1012
1489338231,1013,1013
1489341773,1015,1015
1489345430,1012,1012
1489348970,1012,1012
1489352631,1011,1011
1489356230,1011,1011
1489359770,1013,1013
1489363372,1014,1014
1489367030,1013,1013
1489374170,1010,1010
1489377772,1012,1012
1489381372,1012,1012
1489384972,1013,1013
1489388570,1016,1016
1489392172,1013,1013
1489395771,1014,1014
1489399372,1014,1014
1489402970,1011,1011
1489406571,1007,1007
1489410172,1006,1006
1489413771,1004,1004
1489421031,1004,1004
1489424632,1010,1010
1489428171,1011,1011
1489431771,1014,1014
1489435371,1011,1011
1489438971,1010,1010
1489442571,1008,1008
1489446231,1005,1005
1489449772,1005,1005
1489453372,1005,1005
1489456972,1005,1005
1489460572,1007,1007
1489464173,1007,1007
1489467773,1006,1006
1489471372,1005,1005
1489474971,1004,1004
1489478573,1004,1004
1489482172,1004,1004
1489489372,1004,1004
1489492972,1006,1006
1489496572,1008,1008
1489500172,1009,1009
1489503772,1011,1011
1489507372,1012,1012
1489510972,1017,1017
1489514572,1015,1015
1489518172,1014,1014
1489521832,1014,1014
1489525372,1016,1016
1489528972,1018,1018
1489532572,1021,1021
1489536173,1018,1018
1489539772,1018,1018
1489543372,1018,1018
1489546972,1017,1017
1489550572,1018,1018
1489554173,1018,1018
1489557773,1018,1018
1489561372,1017,1017
1489565033,1017,1017
1489568573,1017,1017
1489572173,1020,1020
1489575773,1020,1020
1489579373,1019,1019
1489582973,1018,1018
1489586633,1021,1021
1489590173,1017,1017
1489593774,1014,1014
1489597374,1011,1011
1489600973,1008,1008
1489604573,1009,1009
1489608174,1009,1009
1489611775,1006,1006
1489615373,1008,1008
1489618975,1008,1008
1489622573,1008,1008
1489626174,1008,1008
1489629775,1005,1005
1489633375,1005,1005
1489636973,1004,1004
1489640574,1003,1003
1489644174,1005,1005
1489647774,1007,1007
1489651434,1008,1008
1489654974,1009,1009
1489658575,1011,1011
1489665774,1011,1011
1489669375,1011,1011
1489672974,1011,1011
1489676574,1010,1010
1489680175,1011,1011
1489683775,1011,1011
1489687374,1015,1015
1489690974,1016,1016
1489694575,1015,1015
1489698175,1018,1018
1489701774,1018,1018
1489705374,1019,1019
1489708974,1020,1020
1489712574,1018,1018
