DateTime,AddedIPs,RemovedIPs
1488644679,180,176
1488648531,401,399
1488652345,305,303
1488656194,222,228
1488660029,282,282
1488663866,446,443
1488667723,262,260
1488671574,256,258
1488675407,383,381
1488679319,214,217
1488683328,160,161
1488687161,174,174
1488691001,310,308
1488694828,131,129
1488698675,108,117
1488702532,450,440
1488706504,451,451
1488710209,449,450
1488714053,449,448
1488717861,217,217
1488721713,187,187
1488725569,154,158
1488729409,223,229
1488733326,63,65
1488737331,3,5
1488741171,16,19
1488744997,10,14
1488748861,4,12
1488764417,22,56
1488768281,4,6
1488772103,3,18
1488775953,9,10
1488779816,13,29
1488783704,5,7
1488787729,10,34
1488791565,6,11
1488795394,21,46
1488799235,15,21
1488803075,8,22
1488806898,12,27
1488810772,9,11
1488814600,8,18
1488818440,23,39
1488822274,8,9
1488826137,24,20
1488829938,13,5
1488833802,16,6
1488837718,10,8
1488841476,10,2
1488845330,14,5
1488849156,11,10
1488853257,12,14
1488857326,12,5
1488861172,14,19
1488865016,9,4
1488868846,22,24
1488872666,14,8
1488876519,7,9
1488880342,10,10
1488884208,2,3
1488888136,10,32
1488899790,19,33
1488903652,8,5
1488907483,25,16
1488911300,33,16
1488915151,25,18
1488918994,32,17
1488922833,24,20
1488926658,28,10
1488930530,26,19
1488934344,18,25
1488938196,7,12
1488942107,5,3
1488945901,5,15
1488949729,6,1
1488953543,15,14
1488957403,146,109
1488961257,209,124
1488965084,232,224
1488968926,307,298
1488972767,210,210
1488976600,397,398
1488980419,392,392
1488984266,451,450
1488988108,446,450
1488991976,449,446
1488995811,447,448
1488999895,340,341
1489003734,221,228
1489007559,450,440
1489011411,450,450
1489015245,449,450
1489019084,449,450
1489022931,241,240
1489026760,119,122
1489030602,143,149
1489034436,227,229
1489038259,87,82
1489042128,410,408
1489045964,449,445
1489049809,448,448
1489053711,449,448
1489057735,439,440
1489061592,448,447
1489065678,444,451
1489069489,450,443
1489073321,356,357
1489077150,172,173
1489081003,347,345
1489084839,258,261
1489088678,193,198
1489092536,193,196
1489096345,255,247
1489100194,335,332
1489104092,194,196
1489107878,196,196
1489111711,368,368
1489115559,450,449
1489119393,451,450
1489123259,449,450
1489127142,286,289
1489130920,214,214
1489134752,132,134
1489138598,177,175
1489142422,226,225
1489146283,41,42
1489150127,6,9
1489153972,17,39
1489157810,46,49
1489161726,20,20
1489165483,32,32
1489169326,31,36
1489173167,38,45
1489176998,30,40
1489180854,15,24
1489184664,6,16
1489188515,6,11
1489192360,6,16
1489196199,6,23
1489200019,4,9
1489203877,51,66
1489207716,28,26
1489211567,28,50
1489215421,55,42
1489219323,31,32
1489223074,8,13
1489226920,11,9
1489230770,5,6
1489234586,6,1
1489238455,5,5
1489242279,28,26
1489246124,20,14
1489249964,28,28
1489253803,28,27
1489257633,38,15
1489261476,6,9
1489265265,8,11
1489269151,3,7
1489272989,5,17
1489276907,9,13
1489280928,41,31
1489284765,38,24
1489288583,33,35
1489292461,32,33
1489296273,7,12
1489300136,3,6
1489303941,3,13
1489307793,3,3
1489311672,9,26
1489315476,3,1
1489319310,7,22
1489323168,9,19
1489326992,9,7
1489330902,11,15
1489334665,9,5
1489338538,10,10
1489342356,13,14
1489346474,12,27
1489350311,11,25
1489354113,6,14
1489357953,4,9
1489361805,8,12
1489365629,5,19
1489369513,5,7
1489373325,5,31
1489377153,1,2
1489381002,9,15
1489384918,2,2
1489388674,9,10
1489392537,22,5
1489396389,31,13
1489400189,24,23
1489404057,37,26
1489407873,27,17
1489411734,30,11
1489415572,232,83
1489419402,256,225
1489423259,375,376
1489427074,250,251
1489430912,446,446
1489434781,377,376
1489438588,446,446
1489442549,45,49
1489446287,31,36
1489450125,236,238
1489453975,440,426
1489457822,450,450
1489461645,447,447
1489465467,307,308
1489469328,46,48
1489473177,34,38
1489477005,15,28
1489480834,33,46
1489484679,22,26
1489488536,18,45
1489492358,24,36
1489496211,42,42
1489500147,40,63
1489503880,35,54
