DateTime,AddedIPs,RemovedIPs
1488506549,5,5
1488510293,1,1
1488514130,0,4
1488518034,2,5
1488521800,5,0
1488525651,0,3
1488529493,3,3
1488533329,1,0
1488537190,3,0
1488540989,4,2
1488548694,6,2
1488556389,0,2
1488560227,4,0
1488564127,2,1
1488567896,5,0
1488571722,5,4
1488575577,4,2
1488579438,3,2
1488583584,4,2
1488587340,2,4
1488591169,1,5
1488598849,1,3
1488602698,1,4
1488606544,2,3
1488610365,1,6
1488614211,3,7
1488618116,3,6
1488625586,3,2
1488629346,1,2
1488633173,3,1
1488637008,3,7
1488640860,2,0
1488648544,2,0
1488652358,5,5
1488656208,3,1
1488660043,2,5
1488663880,1,0
1488667739,1,1
1488671590,0,1
1488675423,2,3
1488679334,3,6
1488683342,4,7
1488687174,2,1
1488691015,1,4
1488694841,3,5
1488698689,3,7
1488702546,5,3
1488706520,2,2
1488710225,2,5
1488714079,0,1
1488717875,4,1
1488721729,2,4
1488725584,2,1
1488729431,6,5
1488733337,4,5
1488737343,2,2
1488741185,4,0
1488745010,1,0
1488748874,2,2
1488764430,5,8
1488768293,1,1
1488772116,1,1
1488775966,2,2
1488779828,2,9
1488787742,4,2
1488795410,4,3
1488799256,3,1
1488803091,4,4
1488806913,2,3
1488810787,1,1
1488814613,0,2
1488818452,3,3
1488822287,2,0
1488826152,2,1
1488829950,7,1
1488833820,4,2
1488837737,2,3
1488841489,1,1
1488845344,7,3
1488849168,2,0
1488853269,3,12
1488857340,0,1
1488861186,2,9
1488865030,1,1
1488868860,3,7
1488872680,3,1
1488876547,2,5
1488880354,2,1
1488888149,6,3
1488899804,5,9
1488903663,1,0
1488907494,3,0
1488911313,4,0
1488915163,5,2
1488919007,1,0
1488922846,4,7
1488926672,3,8
1488930546,0,5
1488934356,0,2
1488938211,3,9
1488942118,1,1
1488949741,1,0
1488953558,4,2
1488957434,2,2
1488961277,2,1
1488965098,5,5
1488968940,2,1
1488972788,1,4
1488976614,2,4
1488980434,1,1
1488984282,1,1
1488988126,2,3
1488991993,4,4
1488995828,2,3
1488999914,3,3
1489003754,10,6
1489007577,3,1
1489011427,2,1
1489015259,0,1
1489019101,1,1
1489026775,0,2
1489030619,1,0
1489034468,2,4
1489038276,1,2
1489042145,4,0
1489045978,1,0
1489049826,1,0
1489053729,4,1
1489061615,9,8
1489065694,1,0
1489073337,1,3
1489077167,5,3
1489081020,4,0
1489084855,3,0
1489088695,6,1
1489092554,2,0
1489096364,0,4
1489100210,1,5
1489104113,3,3
1489107895,0,1
1489111725,8,12
1489115574,1,0
1489119419,0,2
1489123278,1,1
1489127157,2,4
1489130939,1,0
1489134765,6,2
1489142462,3,5
1489146295,2,4
1489153987,2,5
1489157824,3,2
1489161749,4,1
1489169342,1,0
1489173184,4,1
1489177012,3,2
1489180867,2,4
1489184677,2,5
1489188532,4,6
1489192383,0,3
1489196211,1,2
1489203893,2,1
1489207731,1,1
1489211582,2,2
1489215435,2,1
1489219340,4,0
1489223087,3,0
1489226935,1,1
1489230785,4,1
1489234598,4,0
1489238469,4,4
1489242294,0,4
1489246147,1,0
1489249986,1,1
1489253821,1,2
1489257647,3,4
1489261491,5,2
1489265278,8,5
1489269167,3,4
1489273002,1,4
1489276930,3,4
1489280948,1,11
1489284791,4,3
1489288600,3,2
1489292479,2,3
1489296289,2,2
1489300151,2,1
1489303955,4,1
1489307808,3,0
1489311685,1,3
1489315491,1,0
1489319327,4,2
1489323182,2,3
1489327009,4,1
1489330917,2,5
1489334690,1,1
1489338557,2,3
1489342370,2,2
1489346498,1,6
1489350328,12,17
1489354131,1,0
1489357966,1,0
1489361820,2,0
1489365642,1,3
1489373340,1,3
1489381016,3,0
1489388688,4,2
1489396413,0,2
1489400236,2,0
1489404087,1,2
1489407898,7,5
1489411753,3,2
1489415599,2,1
1489419423,2,6
1489423278,4,2
1489427089,1,1
1489430949,1,0
1489434806,7,5
1489438614,1,5
1489442569,4,6
1489446320,1,1
1489450150,1,1
1489453997,3,0
1489461670,2,1
1489469351,2,3
1489473213,3,3
1489477037,3,1
1489480860,6,0
1489484709,2,1
1489488566,4,2
1489492386,6,1
1489496237,3,0
1489500194,4,0
1489503908,4,4
1489507773,1,2
1489511590,1,0
1489515423,4,1
1489519285,1,3
1489523114,3,6
1489527004,2,2
1489530811,3,1
1489534644,3,3
1489538493,2,0
1489542308,3,12
1489546160,2,1
1489549994,1,10
1489553835,1,1
1489557776,2,2
1489561526,7,0
1489565335,2,0
1489569186,2,5
1489573040,2,1
1489576912,1,2
1489580789,1,0
1489588650,1,1
1489596319,5,1
1489600138,4,0
1489607819,5,6
1489611825,4,5
1489615561,2,3
1489619344,1,1
1489623178,5,5
1489627042,0,1
1489634669,2,158
1489638505,7,0
1489642378,4,0
1489646207,5,0
1489650040,3,0
1489653860,4,0
1489657727,1,0
1489661568,1,0
1489665406,7,0
1489669329,1,0
1489677177,6,0
1489681020,1,0
1489684858,4,0
1489688689,2,0
1489692557,9,0
1489700198,1,0
1489704031,1,0
1489707878,3,0
1489712121,1,0
1489715798,2,0
1489723733,2,0
1489727588,1,0
1489731420,3,0
1489735242,3,0
1489739088,2,0
1489742963,7,0
1489746770,3,0
1489754439,4,0
1489758272,3,0
1489762149,1,0
1489765968,2,0
1489770289,1,0
1489774129,2,0
1489777974,3,0
1489781800,2,0
1489785655,4,0
1489789734,2,0
1489793571,2,0
1489812786,7,0
1489816610,2,0
1489820542,2,0
1489832211,12,0
1489843726,6,0
1489851414,4,0
1489855258,1,0
1489859086,2,0
1489862912,5,0
1489866779,4,2
1489870611,4,0
1489874559,2,1
1489878546,2,3
1489882388,4,0
1489886213,2,4
1489890083,2,1
1489893884,1,3
1489897736,3,7
1489901591,0,5
1489905437,6,7
1489909293,1,2
1489913094,5,0
1489916937,5,1
1489920768,2,0
1489924605,1,3
1489928529,4,1
1489932372,2,2
1489936173,5,2
1489939978,3,2
1489943825,1,0
1489947662,3,3
1489951488,5,1
1489955339,3,0
1489959170,3,5
1489963007,3,4
1489966857,0,1
1489970676,3,2
1489974529,3,2
1489978364,3,4
1489982208,1,3
1489986132,1,4
1489989898,7,13
1489993736,3,5
1489997570,3,2
1490001432,1,5
