DateTime,AddedIPs,RemovedIPs
1485072513,3,2
1485080299,0,1
1485084078,2,2
1485091725,1,2
1485095561,1,0
1485103249,3,4
1485110926,1,1
1485118602,0,1
1485126288,3,3
1485137849,7,8
1485141665,1,2
1485149317,2,387
1485156993,1,0
1485164667,4,0
1485168522,1,0
1485187731,9,0
1485203065,1,0
1485206916,2,0
1485218447,4,0
1485222289,1,0
1485226127,3,0
1485237705,4,0
1485241499,1,0
1485249189,1,0
1485253010,1,0
1485256836,3,0
1485276035,3,0
1485279864,1,0
1485287579,4,0
1485295355,3,0
1485306773,4,0
1485310631,2,0
1485318542,4,0
1485322377,1,0
1485326214,1,0
1485330059,1,0
1485345417,2,0
1485349315,1,0
1485353088,1,0
1485395316,1,0
1485406595,1,0
1485460916,2,0
1485464951,1,0
1485468759,1,0
1485484355,3,0
1485488222,1,0
1485492031,2,0
1485503554,1,0
1485507404,1,0
1485538364,1,0
1485550006,1,0
1485569086,1,0
1485576776,2,0
1485592411,1,0
1485600038,1,0
1485607741,1,0
1485642763,1,0
1485658116,1,0
1485700856,1,0
1485720130,1,0
1485766611,1,0
1485785793,1,0
1485836467,1,0
1485883559,1,0
1485914184,1,0
1485922253,1,0
1485930063,1,0
1485945401,1,0
1485984079,1,0
1485987893,1,0
1486003255,1,0
1486007083,1,0
1486022530,1,0
1486045954,1,0
1486053646,1,0
1486065185,1,0
1486084385,2,0
1486096116,1,0
1486103808,1,0
1486115328,1,0
1486119164,1,0
1486126937,1,0
1486138376,1,0
1486173418,2,0
1486200526,1,0
1486277800,1,0
1486289580,1,0
1486324378,1,0
1486382198,1,0
1486397574,1,0
1486420853,1,0
1486436199,1,0
1486466931,1,0
1486478434,1,0
1486505334,1,0
1486524523,2,0
1486551301,1,0
1486613090,2,0
1486636364,1,0
1486647676,1,0
1486663013,1,0
1486732610,2,0
1486744130,1,0
1486747998,10,0
1486763326,2,0
1486771023,1,0
1486782539,1,0
1486786378,1,0
1486825031,1,0
1486863407,1,0
1486878778,1,0
1486909738,1,0
1486913735,1,0
1486921246,1,0
1486960138,1,0
1486967819,2,0
1486971639,1,0
1486975496,1,0
1486979333,1,0
1487052563,2,0
1487056238,1,0
1487106530,1,0
1487110388,1,0
1487164605,2,0
1487187708,1,0
1487191488,1,0
1487206608,1,0
1487229896,1,0
1487233712,2,0
1487252921,1,0
1487256775,1,0
1487276223,1,0
1487349192,1,0
1487422382,1,0
1487476359,1,0
1487480226,1,0
1487484123,1,0
1487522669,1,0
1487542142,1,189
1487550051,1,0
1487553878,1,0
1487561564,1,0
1487584610,1,0
1487592717,1,0
1487619642,1,0
1487631167,1,0
1487635011,2,0
1487638930,1,0
1487646515,1,0
1487650375,1,0
1487654201,1,0
1487665726,1,0
1487673413,1,0
1487681081,1,0
1487692608,1,0
1487704361,1,0
1487731242,1,0
1487735077,1,0
1487746602,1,0
1487773465,1,0
1487777319,1,0
1487781168,2,0
1487784996,1,0
1487811726,1,0
1487823160,1,0
1487826995,1,0
1487830833,1,0
1487834684,4,0
1487850045,1,0
1487869322,1,0
1487888949,1,0
1487900507,1,0
1487942925,1,0
1487969801,2,0
1487981570,1,0
1487989494,1,0
1488001037,1,0
1488004834,1,0
1488020202,1,0
1488024154,1,0
1488062453,2,0
1488096992,1,50
1488108526,1,0
1488120041,1,0
1488123884,1,0
1488131571,1,0
1488139328,1,0
1488150767,1,0
1488154605,2,0
1488158458,1,0
1488162292,1,0
1488166137,1,0
1488201388,1,0
1488224678,1,0
1488247978,1,0
1488251801,1,0
1488282530,1,0
1488294149,1,0
1488301708,1,0
1488309390,2,0
1488313261,2,0
1488317086,3,0
1488320920,1,0
1488324769,3,0
1488328595,1,0
1488336264,1,0
1488379026,1,0
1488398227,1,0
1488425077,1,0
1488428911,1,0
1488440447,1,0
1488444300,1,0
1488451963,2,0
1488467569,1,0
1488483403,1,0
1488487268,1,0
1488506540,1,0
1488518028,1,0
1488533324,1,0
1488571715,1,0
1488583579,1,0
1488587335,1,0
1488591161,1,0
1488629339,1,0
1488637002,1,0
1488656202,1,0
1488679327,1,0
1488694834,1,0
1488717869,1,0
1488721724,1,0
1488768287,1,0
1488772110,1,0
1488795404,2,0
1488803084,1,0
1488810781,1,0
1488837728,1,0
1488841484,1,0
1488857333,1,0
1488876536,1,0
1488899798,1,0
1488915158,2,0
1488942113,1,0
1488949736,1,0
1488957424,2,0
1488965091,1,0
1488976608,1,0
1489007571,1,0
1489015253,1,0
1489022938,1,0
1489045971,1,0
1489049818,2,0
1489053720,2,0
1489057746,2,0
1489065687,1,0
1489077159,1,0
1489088688,1,0
1489134759,1,0
1489146290,2,0
1489157818,1,0
1489173176,2,0
1489177005,1,0
1489180861,2,0
1489192372,1,0
1489196206,1,0
1489200026,3,0
1489203885,1,0
1489223081,2,0
1489226928,2,0
1489230778,5,0
1489234593,2,0
1489238461,2,0
1489242287,1,0
1489246137,6,0
1489249977,7,0
1489253812,1,0
1489265273,1,0
1489284780,5,0
1489288594,2,0
1489296283,1,0
1489303949,1,0
1489307801,2,0
1489315485,1,0
1489327001,6,0
1489330911,2,0
1489334678,2,0
1489338547,10,0
1489342364,5,0
1489346488,6,0
1489350320,3,0
1489354124,4,0
1489357960,4,0
1489373332,1,0
1489381010,1,0
1489388682,1,0
1489392549,8,0
1489396402,4,0
1489400216,5,0
1489404073,7,0
1489407886,4,0
1489411745,8,0
1489415584,1,0
1489419414,8,0
1489423271,4,0
1489427082,7,0
1489430935,7,0
1489434795,5,0
1489438602,4,0
1489442560,4,0
1489446307,7,0
1489450141,8,0
1489453987,2,0
1489457845,4,0
1489461660,3,0
1489473199,1,0
1489477025,5,0
1489480849,4,0
1489484697,4,0
1489488553,3,0
1489492375,3,0
1489496225,4,0
1489500176,2,0
1489511582,10,0
1489515409,5,0
1489519272,10,0
1489523092,1,0
1489526995,1,0
1489530799,2,0
1489534636,5,0
1489542291,7,2
1489546147,3,3
1489565322,1,1
1489584818,2,1
1489588635,2,1
1489596307,5,3
1489600118,9,8
1489603977,4,3
1489607811,6,1
1489611806,1,0
1489615547,1,2
1489619335,2,2
1489623171,1,4
1489627033,2,3
1489634665,2,360
1489638501,3,0
1489642375,1,0
1489646203,3,0
1489650037,3,0
1489653857,3,0
1489657724,3,0
1489661563,4,0
1489665403,2,0
1489669325,5,0
1489673103,4,0
1489677172,8,0
1489681017,6,0
1489684855,7,0
1489688685,2,0
1489692554,2,0
1489696381,3,0
1489700194,6,0
1489704024,8,0
1489712117,4,0
1489715795,6,0
1489719728,1,0
1489723728,2,0
1489727584,8,0
1489731413,2,0
1489735237,5,0
1489739083,5,0
1489742958,4,0
1489750627,4,0
1489754434,10,0
1489758268,1,0
1489762144,9,0
1489765962,7,0
1489770285,6,0
1489774125,2,0
1489777968,1,0
1489781795,2,0
1489785650,5,0
1489789730,7,0
1489793566,3,0
1489797410,2,0
1489812781,1,0
1489832204,5,0
1489843721,12,0
1489851409,6,0
1489855248,4,0
1489859081,6,0
1489862908,8,0
1489866774,3,0
1489870607,6,0
1489874552,3,0
1489882381,5,0
1489886208,10,0
1489890076,5,0
1489893878,4,0
1489897731,6,0
1489905431,4,0
1489909288,3,0
1489913087,5,0
1489916931,5,0
1489920763,5,0
1489924598,4,0
1489928522,6,0
1489932367,2,0
1489936155,8,0
1489939972,7,0
1489943818,1,0
1489947654,2,0
1489951482,1,0
1489959163,1,0
1489963003,2,0
1489966852,3,0
1489970670,5,0
1489974523,2,0
1489978357,7,0
1489982200,3,0
1489986126,6,0
1489989892,5,0
1489993731,4,0
1490001426,1,0
1490012926,1,0
1490016791,5,0
1490020608,3,0
1490024435,3,0
1490028275,11,0
1490032122,4,0
1490035969,2,0
1490063366,1,0
1490073174,4,0
1490077252,6,0
1490081084,2,0
1490085198,1,0
1490100541,4,0
1490104347,5,1
1490108289,5,4
1490112100,1,1
1490115867,2,1
1490119697,8,4
1490123550,5,5
1490127389,2,2
1490135075,0,1
1490142900,1,0
1490146612,1,2
1490150435,1,1
1490154274,1,0
1490158112,1,3
1490161959,1,1
1490165794,0,2
1490173478,0,1
1490177310,0,1
1490184986,0,2
1490192676,1,0
1490196503,0,2
1490246662,1,1
1490258200,1,1
1490262015,3,3
1490273541,0,2
1490285325,0,1
1490304509,2,2
1490312454,1,1
1490316258,1,1
1490320101,2,2
1490323957,2,4
1490331721,0,2
1490335468,1,1
1490339320,0,2
1490346977,0,2
1490350836,1,1
1490354668,0,2
1490366198,0,2
1490388982,1,1
1490396667,1,1
1490400502,0,2
1490408188,0,2
1490412021,1,1
1490427389,1,2
1490442760,0,1
1490446585,1,1
1490454269,1,1
1490484988,1,1
1490488827,1,1
1490492681,1,0
1490496502,1,1
1490500355,0,2
1490504187,0,1
1490511871,1,2
1490519560,1,1
1490523387,0,1
1490531081,0,1
1490534916,0,2
1490542607,0,1
1490581234,0,1
1490585071,1,1
