DateTime,AddedIPs,RemovedIPs
1488683339,447,448
1488687172,451,449
1488691013,428,428
1488694838,447,447
1488698687,450,450
1488702544,99,102
1488706518,20,25
1488710222,47,72
1488714075,118,121
1488717873,427,391
1488721727,447,447
1488725580,449,451
1488729424,446,448
1488733335,242,242
1488737341,20,23
1488741183,61,66
1488745008,24,28
1488748871,26,54
1488764427,76,168
1488768291,14,18
1488772114,201,147
1488775963,376,295
1488779825,412,412
1488783720,377,375
1488787740,445,447
1488791576,360,359
1488795407,443,444
1488799251,370,372
1488803089,385,387
1488806910,448,442
1488810785,388,390
1488814611,426,425
1488818450,432,430
1488822285,407,410
1488826148,405,403
1488829948,420,426
1488833816,376,371
1488837735,422,424
1488841487,373,370
1488845340,442,444
1488849166,388,388
1488853267,441,444
1488857338,427,424
1488861183,427,424
1488865028,359,360
1488868858,447,447
1488872676,376,378
1488876543,275,278
1488880351,26,34
1488884216,6,8
1488888147,56,115
1488899801,62,156
1488903661,23,27
1488907492,442,268
1488911310,448,449
1488915161,446,444
1488919004,445,447
1488922843,445,446
1488926669,447,447
1488930542,446,446
1488934354,445,444
1488938208,49,54
1488942116,32,32
1488945911,49,64
1488949739,35,50
1488953556,123,154
1488957431,436,369
1488961274,450,450
1488965095,446,447
1488968938,449,448
1488972786,445,449
1488976612,407,405
1488980432,342,346
1488984279,88,88
1488988123,259,258
1488991990,375,379
1488995825,438,434
1488999909,442,438
1489003749,450,448
1489007575,449,450
1489011424,291,296
1489015256,20,26
1489019099,63,74
1489022942,437,422
1489026772,448,442
1489030616,451,449
1489034462,447,451
1489038272,450,446
1489042142,449,451
1489045976,447,447
1489049824,448,448
1489053725,444,447
1489057752,448,445
1489061610,442,445
1489065692,450,445
1489069502,293,297
1489073334,396,399
1489077164,448,441
1489081018,328,330
1489084853,446,447
1489088692,445,446
1489092552,451,447
1489096362,449,450
1489100207,451,450
1489104110,449,451
1489107892,449,449
1489111723,446,449
1489115571,24,27
1489119414,53,66
1489123274,79,90
1489127154,426,396
1489130937,392,393
1489134763,450,448
1489138610,449,450
1489142454,446,447
1489146293,186,191
1489150145,16,18
1489153984,246,266
1489157822,441,417
1489161744,445,442
1489165494,445,446
1489169340,445,445
1489173180,444,445
1489177009,443,444
1489180865,292,293
1489184675,39,43
1489188530,27,35
1489192379,38,44
1489196209,41,82
1489200029,13,36
1489203891,389,307
1489207729,441,439
1489211578,441,440
1489215433,443,443
1489219336,439,445
1489223085,40,40
1489226932,68,74
1489230783,41,96
1489234596,35,43
1489238464,21,23
1489242291,378,299
1489246144,445,445
1489249983,450,449
1489253818,449,448
1489257645,447,449
1489261488,74,77
1489265276,20,22
1489269164,19,42
1489273000,34,60
1489276925,82,94
1489280944,416,356
1489284786,441,438
1489288598,444,441
1489292475,443,445
1489296286,81,86
1489300148,19,41
1489303953,54,68
1489307805,11,22
1489311682,24,84
1489315489,19,19
1489319324,12,26
1489323180,26,57
1489327006,26,21
1489330914,29,37
1489334685,24,36
1489338552,28,25
1489342368,26,21
1489346494,51,11
1489350324,52,29
1489354128,20,5
1489357964,18,24
1489361817,18,34
1489365640,23,54
1489369524,14,18
1489373337,20,59
1489377164,13,14
1489381013,20,31
1489384949,3,2
1489388685,13,36
1489392553,327,117
1489396410,414,405
1489400230,449,450
1489404081,446,448
1489407895,441,443
1489411749,444,442
1489415593,441,441
1489419419,396,397
1489423276,211,214
1489427087,294,294
1489430943,88,97
1489434800,323,321
1489438610,85,84
1489442565,415,406
1489446315,446,445
1489450147,241,244
1489453993,39,44
1489457856,49,55
1489461667,24,39
1489465482,212,222
1489469348,417,379
1489473206,451,446
1489477031,450,450
1489480855,448,451
1489484706,446,444
1489488559,451,450
1489492381,450,450
1489496232,449,450
1489500186,449,450
1489503903,451,449
1489507767,47,48
1489511587,447,447
1489515417,447,447
1489519279,448,449
1489523103,447,447
1489527002,365,368
1489530807,449,444
1489534641,445,449
1489538489,447,445
1489542302,447,447
1489546157,448,446
1489549989,451,451
1489553831,450,450
1489557769,450,450
1489561521,451,451
1489565329,450,450
1489569183,448,449
1489573034,446,447
1489576906,451,449
1489580781,449,449
1489584825,401,401
1489588645,344,344
1489596314,445,450
1489600135,445,441
1489603986,451,450
1489607815,451,451
1489611818,451,451
1489615555,450,450
1489619341,450,450
1489623175,451,451
1489627038,392,393
1489630839,77,449
1489634668,410,37
1489638505,451,451
1489642377,449,449
1489646206,448,451
1489650040,414,412
1489653859,443,445
1489657726,410,411
1489661567,443,442
1489665405,440,437
1489669328,415,419
1489673106,387,386
1489677175,445,444
1489681019,411,411
1489684857,402,400
1489688688,428,432
1489692556,440,439
1489696383,401,400
1489700197,407,407
1489704029,412,417
1489707876,406,402
1489712120,448,445
1489715797,440,444
1489719731,385,383
1489723731,448,447
1489727587,439,439
1489731417,444,444
1489735241,408,409
1489739086,445,446
1489742961,445,444
1489746768,407,409
1489750631,447,444
1489754437,435,437
1489758270,405,402
1489762148,448,449
1489765966,405,406
1489770288,438,437
1489774128,410,412
1489777972,444,442
1489781797,438,437
1489785653,409,410
1489789733,448,450
1489793569,412,412
1489797413,170,169
1489812784,116,171
1489816608,369,317
1489820540,444,441
1489832208,443,444
1489843724,128,212
1489851412,240,201
1489855254,402,356
1489859084,448,446
1489862910,441,442
1489866776,439,443
1489870609,210,214
1489874558,175,180
1489878544,441,431
1489882385,448,444
1489886211,450,450
1489890080,436,442
1489893882,447,441
1489897734,443,448
1489901589,449,444
1489905434,442,446
1489909291,333,338
1489913092,62,65
1489916934,301,298
1489920766,201,196
1489924602,435,434
1489928525,444,443
1489932370,100,101
1489936165,442,442
1489939975,442,445
1489943822,446,440
1489947659,450,450
1489951485,449,451
1489955336,450,449
1489959167,448,449
1489963006,447,445
1489966855,448,450
1489970674,445,447
1489974528,448,446
1489978360,446,446
1489982204,444,444
1489986129,443,445
1489989895,442,439
1489993734,447,447
1489997568,400,401
1490001429,71,75
1490005269,307,309
1490009111,408,400
1490012930,451,451
1490016797,447,448
1490020613,450,449
1490024440,451,451
1490028277,449,450
1490032128,441,446
1490035974,448,443
1490039824,448,448
1490043710,451,450
1490047730,449,450
1490051816,450,450
1490055656,41,43
1490059507,65,67
1490063371,46,52
1490067182,407,397
1490071014,447,446
1490074838,449,449
1490078710,449,449
1490082537,449,450
1490086364,450,449
1490090212,450,450
1490094108,413,417
1490098162,72,74
1490101967,50,51
1490105817,48,58
1490109646,18,20
1490113514,22,64
1490117322,382,325
1490121166,447,444
1490125019,438,444
1490128830,442,437
1490132729,413,414
1490136546,20,21
1490140367,47,51
1490144218,25,35
1490148135,10,29
1490151891,46,69
1490155718,23,46
1490159556,35,82
1490163389,15,29
1490167264,23,52
1490171081,94,36
1490174922,234,141
1490178762,226,210
1490182604,324,319
1490186456,385,391
1490190285,233,233
1490194148,241,237
1490197967,349,347
1490201817,269,268
1490205717,183,183
1490209914,50,53
