DateTime,AddedIPs,RemovedIPs
1487637181,0,1
1487647982,1,0
1487655181,0,1
1487658781,1,0
1487673181,0,3
1487680382,1,1
1487687582,1,2
1487694781,0,3
1487705581,1,1
1487716381,0,4
1487719982,0,1
1487723581,3,1
1487727181,1,0
1487734381,1,1
1487741581,0,1
1487745181,1,0
1487748781,1,0
1487752381,0,3
1487763181,0,1
1487766781,1,0
1487770381,0,1
1487773981,2,0
1487781181,4,0
1487788382,2,0
1487791981,2,0
1487799181,0,2
1487802782,2,2
1487809981,2,0
1487813581,1,0
1487824382,0,2
1487838781,0,1
1487842382,1,0
1487845982,0,1
1487849581,0,1
1487853181,1,0
1487856781,1,0
1487863981,1,0
1487867581,2,0
1487871181,0,1
1487874781,1,0
1487878381,0,1
1487885581,1,3
1487889181,2,0
1487892781,0,1
1487899981,1,0
1487910781,0,1
1487943181,1,0
1487950381,2,2
1487953982,1,0
1487964781,0,1
1487971982,2,0
1487982781,1,0
1487993581,1,1
1487997181,1,0
1488000781,0,1
1488004381,2,0
1488007981,0,2
1488015182,1,0
1488018781,1,1
1488025981,1,0
1488033181,0,1
1488051181,0,1
1488058381,0,1
1488069181,1,0
1488072781,0,1
1488079981,0,1
1488083581,2,1
1488090781,0,1
1488101581,1,0
1488108781,0,1
1488115981,1,0
1488119581,0,1
1488126782,1,2
1488130381,0,1
1488137582,0,1
1488144781,0,1
1488148381,1,0
1488159182,0,1
1488166382,0,1
1488177181,0,2
1488187981,1,0
1488198781,1,0
1488209581,1,0
1488216781,0,1
1488220381,2,0
1488223981,0,1
1488231181,1,0
1488234781,1,1
1488256381,0,2
1488277981,1,0
1488288781,1,0
1488292381,0,1
1488299581,2,0
1488306781,3,2
1488310381,3,0
1488313981,0,1
1488331981,1,1
1488339181,0,2
1488342781,1,0
1488349981,3,1
1488360782,3,0
1488364381,4,0
1488371581,1,0
1488378781,0,1
1488385981,0,1
1488393181,0,2
1488396781,1,0
1488403981,1,0
1488407581,2,1
1488414781,0,2
1488421981,0,1
1488436381,0,1
1488447181,4,0
1488450781,2,1
1488457981,0,2
1488461581,2,0
1488468781,3,1
1488479581,1,0
1488483181,2,0
1488490382,1,1
1488497581,0,1
1488504781,0,1
1488508381,0,3
1488511981,0,1
1488515582,2,0
1488522781,2,0
1488533581,2,0
1488537181,1,1
1488544381,1,1
1488547981,1,0
1488551582,0,1
1488569581,0,2
1488573181,0,1
1488580381,3,0
1488587581,3,1
1488591181,1,0
1488598381,3,0
1488601981,3,0
1488609181,2,1
1488612781,0,1
1488619981,0,2
1488623581,1,0
1488627181,0,1
1488630781,2,0
1488645181,2,0
1488648781,0,1
1488652381,0,1
1488655981,1,0
1488663181,1,0
1488666781,1,0
1488677581,0,1
1488681181,1,0
1488688381,0,1
1488691981,0,2
1488695581,1,0
1488702781,1,0
1488706381,2,0
1488713581,2,0
1488717181,0,1
1488724381,1,0
1488727981,1,0
1488735181,2,0
1488738781,2,0
1488742381,1,0
1488745981,2,0
1488753181,3,1
1488756781,1,0
1488760381,0,3
1488771182,0,1
1488774781,3,0
1488778381,3,0
1488785581,1,0
1488789182,1,0
1488792782,1,0
1488799981,2,0
1488803581,1,0
1488814381,0,1
1488821581,0,1
1488825182,2,0
1488832381,1,0
1488835981,1,0
1488843181,2,2
1488853981,1,0
1488857581,2,2
1488861182,3,0
1488868381,0,1
1488871981,2,0
1488875581,2,0
1488879181,0,1
1488886382,1,0
1488893581,0,3
1488911581,0,2
1488915181,2,0
1488922382,1,2
1488933181,1,2
1488936781,0,2
1488947582,0,2
1488954781,1,0
1488958381,1,0
1488965581,1,0
1488976381,3,0
1488983581,2,0
1488987181,0,4
1488990781,1,0
1489005181,1,1
1489008781,1,0
1489012381,1,0
1489015981,1,0
1489019581,0,1
1489023182,1,0
1489026781,1,0
1489033981,1,0
1489037581,2,0
1489041181,1,0
1489044781,0,1
1489048381,1,0
1489051981,0,3
1489059181,1,0
1489066381,1,0
1489073581,2,0
1489080781,1,0
1489084382,2,0
1489087981,1,1
1489091581,3,0
1489095181,1,0
1489105981,4,0
1489113181,0,1
1489120382,0,1
1489123981,1,0
1489127581,1,5
1489131181,3,1
1489149621,0,1
1489156381,3,0
1489159981,1,1
1489163581,3,0
1489167181,1,0
1489177981,1,0
1489181581,1,0
1489185181,2,1
1489188782,2,0
1489192381,0,1
1489199581,1,2
1489206781,1,3
1489210381,2,1
1489213981,1,0
1489221181,2,0
1489224781,3,0
1489228381,1,0
1489231981,0,2
1489235581,0,2
1489242781,0,1
1489246382,2,0
1489249981,2,1
1489257181,0,2
1489267981,0,2
1489271581,0,1
1489278781,1,0
1489282381,0,1
1489285981,2,0
1489307582,2,0
1489314782,1,1
1489318382,2,0
1489321981,0,1
1489325581,1,0
1489329181,0,1
1489336381,1,0
1489339981,1,1
1489347181,0,1
1489354381,1,0
1489357981,3,1
1489361581,0,3
1489365181,1,0
1489368781,1,0
1489372381,1,1
1489375981,4,0
1489379581,1,2
1489383181,0,1
1489386782,1,0
1489390382,0,1
1489397581,1,2
1489404781,2,0
1489408381,0,1
1489411982,1,0
1489415581,2,2
1489419181,1,0
1489426382,1,1
1489433581,1,0
1489437182,0,1
1489444381,2,0
1489447982,1,3
1489451581,1,0
1489455181,0,1
1489458781,3,0
1489462381,0,2
1489473181,0,4
1489491181,1,2
1489494781,0,2
1489498381,1,2
1489505581,0,2
1489516381,1,1
1489523581,1,0
1489527181,1,1
1489530781,2,0
1489534381,1,1
1489541581,0,1
1489545181,1,0
1489548782,1,0
1489555981,2,0
1489559581,1,3
1489563182,1,0
1489573981,1,0
1489577581,0,2
1489584782,0,1
1489595581,0,2
1489599181,2,2
1489609981,1,1
1489613581,1,0
1489617181,0,4
1489620781,1,0
1489627981,1,0
1489631581,3,1
1489635182,0,1
1489638781,2,0
1489642381,1,0
1489645981,1,0
1489653181,1,1
1489671181,0,1
1489674781,3,1
1489681981,1,2
1489685581,2,1
1489689181,1,2
1489696381,0,2
1489699981,0,1
1489707181,0,3
1489717982,3,0
1489721581,3,0
1489728781,1,2
1489735981,2,0
1489739581,2,0
1489750381,0,1
1489761181,0,4
1489764781,0,2
1489768381,1,2
1489771981,3,0
1489775581,1,3
1489782781,1,2
1489786381,0,1
1489789981,1,0
1489793581,1,0
1489797181,0,1
1489800781,1,0
1489807981,1,0
1489811581,2,0
1489818781,0,1
1489822381,0,2
1489825981,1,2
1489833181,2,1
1489836781,2,2
1489840381,1,0
1489843981,2,0
1489851181,0,5
1489854782,1,0
1489858381,1,0
1489861982,1,1
1489869181,1,0
1489883581,1,0
1489887181,1,0
1489894381,0,1
1489905181,0,2
1489908782,0,1
1489915982,1,0
1489919581,1,0
1489926781,0,3
1489930381,2,0
1489933981,1,2
1489941181,1,1
1489944781,0,1
1489951981,0,2
1489959181,0,1
1489973581,1,1
1489977181,1,0
1489984381,1,4
1489995182,0,1
1489998782,0,4
1490002381,1,0
1490005981,1,0
1490009582,0,1
1490013181,0,1
1490020381,1,1
1490027581,1,1
1490031181,1,1
1490045581,0,4
1490049181,1,2
1490056381,0,1
1490070781,1,0
1490074381,0,1
1490081581,3,1
1490095981,2,0
1490099581,3,2
1490103181,0,1
1490106781,3,0
1490110381,1,0
1490113981,0,2
1490117582,1,0
1490124781,1,0
1490135582,2,3
1490153581,1,2
1490157181,0,2
1490160781,0,1
1490171582,2,1
1490175181,0,2
1490185981,1,1
1490189581,1,0
1490193181,0,1
1490196781,0,1
1490203981,1,2
1490207581,2,0
1490211181,0,1
1490218381,2,2
1490225581,0,1
1490236381,1,0
1490247181,1,3
1490250781,2,0
1490254381,1,0
1490265181,1,0
1490268781,0,1
1490275981,1,1
1490279582,1,0
1490283181,0,1
1490286781,1,1
1490290381,0,3
1490297581,2,0
1490301181,2,2
1490304782,1,0
1490308381,1,1
1490322781,1,0
1490329981,0,2
1490337182,0,2
1490340781,2,1
1490347981,0,2
1490351581,0,1
1490355181,1,0
1490358781,1,0
1490362381,2,0
1490365981,1,0
1490373181,1,0
1490376781,0,3
1490387581,1,1
1490391181,1,2
1490394781,1,0
1490398381,2,0
1490401981,0,1
1490409181,0,1
1490416381,0,2
1490419981,1,1
1490423581,1,0
1490427182,1,0
1490430782,0,1
1490437981,0,1
1490441581,3,1
1490445181,1,0
1490452381,0,1
1490455982,1,0
1490459581,1,0
1490470381,3,1
1490473981,0,1
1490477582,1,0
1490481181,1,0
1490491981,2,0
1490495582,0,1
1490506381,2,0
1490509981,1,0
1490517181,0,1
1490520781,1,0
1490524382,1,1
1490531581,1,1
1490535181,1,1
1490542381,0,1
1490549581,0,2
1490553181,0,1
1490563981,2,0
1490567581,2,0
1490571181,0,1
1490574782,2,0
1490581981,1,2
1490585581,0,1
1490589181,1,0
1490592781,1,0
1490599981,0,2
1490603581,1,1
1490607182,0,1
1490610781,0,1
1490614381,2,0
1490617981,2,1
1490621581,0,4
1490625181,0,1
1490628781,1,0
1490632381,2,1
1490639581,1,0
1490643181,1,0
